smiles,value,source,name,units,params
CC1CCC2C1C1C(CCC2(C)O)C1(C)C,292,AAT Bioquest,Boiling point,°C,
CCCCC(CC)CN(CC(CC)CCCC)CC(CC)CCCC,334.8,ECHA,Boiling point,°C,
C=CCOC1CC2CC1C1C=CCC21,253,GESTIS,Boiling point,°C,
COCCC(=O)N(C)C,215.2,ECHA,Boiling point,°C,
CC(=O)OC(C)CC(C)(C)c1ccccc1,265,ECHA,Boiling point,°C,
CC1CCCNC1=O,249.5,AAT Bioquest,Boiling point,°C,
CC(C)C(O)C(C)(C)C,151,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCc1ccc(-c2ccccc2)cc1,314,,Boiling point,°C,
CCCCCCCCCCC(C)CC,248,,Boiling point,°C,
CC1=CCC(C(=O)O)C1(C)C,241.5,10.1021/acs.jcim.6b00625,Boiling point,°C,
NC(=O)[C@@H]1CCCN1,264,ECHA,Boiling point,°C,
CCCCCCC1CCCC1=O,270.85,ECHA,Boiling point,°C,
CCCCCCCCCCCCCCCCCC[Si](C)(OC)OC,347.8,ECHA,Boiling point,°C,
O=S1(=O)CCCS(=O)(=O)C1,554.5,,Boiling point,°C,
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,337,ECHA,Boiling point,°C,
COCCCCl,110.166664,,Boiling point,°C,
Cc1ccc2c(c1)OCC(=O)CO2,267,ECHA,Boiling point,°C,
COC1CCCC1,107,ECHA,Boiling point,°C,
CC(C)(C)S,64,ECHA,Boiling point,°C,
Cc1ccccc1CN,206,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCOC(=O)CC,122,GESTIS,Boiling point,°C,
CC(C)CCN,97.5,ECHA,Boiling point,°C,
FC(F)=C(F)C(F)(F)F,-29.6,GESTIS,Boiling point,°C,
CCN(N)CC,96.5,,Boiling point,°C,
C=C(C)C(N)=O,225,ECHA,Boiling point,°C,
ClCCCBr,143.3,ECHA,Boiling point,°C,
CCCCCCC(C)(C)O,178,Handbook of chemistry and physics 2016,Boiling point,°C,
CCC(CC)CO,149,GESTIS,Boiling point,°C,
Fc1ccc(Br)cc1,149.3,ECHA,Boiling point,°C,
c1ncncn1,113,Handbook of chemistry and physics 2016,Boiling point,°C,
C1CCCCCCC1,151.2,ECHA,Boiling point,°C,
C1CCCCCCCCC1,202.3,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1cc(C(C)(C)C)ccc1O,237,Handbook of chemistry and physics 2016,Boiling point,°C,
CS,6.2,ECHA,Boiling point,°C,
CC1(C)COC(=O)C1O,244.7,ECHA,Boiling point,°C,
NC(Cc1c[nH]c2ccccc12)C(=O)O,289,PubChem,Boiling point,°C,
O=[N+]([O-])c1cccc2cn[nH]c12,383.3,Guidechem,Boiling point,°C,
COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,210,Guidechem,Boiling point,°C,
CCC(C)S,84.5,GESTIS,Boiling point,°C,
O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,498,PubChem,Boiling point,°C,
COc1cc(NC(C)CCCN)c2ncccc2c1,177,,Boiling point,°C,
CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,484.2,,Boiling point,°C,
OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,603,,Boiling point,°C,
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,443.3,,Boiling point,°C,
C[C@H](N)C(=O)O,250,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,307.5,Handbook of chemistry and physics 2016,Boiling point,°C,
S=C=S,46.3,ECHA,Boiling point,°C,
ClC(Cl)Br,87,GESTIS,Boiling point,°C,
CC1(C)NC(=O)NC1=O,312.85,ECHA,Boiling point,°C,
CCC(C)(O)CC,129,Handbook of chemistry and physics 2016,Boiling point,°C,
C=C[Si](OCC)(OCC)OCC,160,Handbook of chemistry and physics 2016,Boiling point,°C,
CCC(C)C,27.8,ECHA,Boiling point,°C,
CC(O)C#N,183,GESTIS,Boiling point,°C,
Cc1ccc(Nc2ccc(O)c3c2C(=O)c2ccccc2C3=O)cc1,300,ECHA,Boiling point,°C,
CCN(CC)C(=O)Cl,186,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)(C)c1cc(CO)cc(C(C)(C)C)c1O,294,ECHA,Boiling point,°C,
c1ccc(N2CN(c3ccccc3)CN(c3ccccc3)C2)cc1,185,Handbook of chemistry and physics 2016,Boiling point,°C,
CCN(CCO)c1cccc(C)c1,156.33333,GESTIS,Boiling point,°C,
CCN(CCCl)c1ccccc1,258,ECHA,Boiling point,°C,
C=CCc1ccc(OC)c(OC)c1,255,ECHA,Boiling point,°C,
OCC(O)c1ccccc1,273,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1ccc(N)cc1Cl,243,ECHA,Boiling point,°C,
C=Cc1cccc(C)c1,170.5,GESTIS,Boiling point,°C,
CCC(C)Nc1ccc(NC(C)CC)cc1,98,ECHA,Boiling point,°C,
C=CCN(CC=C)CC=C,151,GESTIS,Boiling point,°C,
OCCOCCOc1ccccc1,296,ECHA,Boiling point,°C,
CCCC(C)CO,148,GESTIS,Boiling point,°C,
CCC(=O)OCCC(C)C,158,ECHA,Boiling point,°C,
C=CCOCC1CO1,153.9,ECHA,Boiling point,°C,
CC(C)(C)SC(C)(C)C,152.3,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCOC(=O)Cl,115.2,ECHA,Boiling point,°C,
CCCCCCCCCCCCCC(=O)OCCCC,195,AAT Bioquest,Boiling point,°C,
CCCCCCCCCCCCCCCCCC(=O)OC(C)C,207,AAT Bioquest,Boiling point,°C,
C=CCCCCCCCCCCCCCCCC,179,Handbook of chemistry and physics 2016,Boiling point,°C,
OCC(CO)(CO)CO,368.85,ECHA,Boiling point,°C,
C1=CC2C=CC1C2,89.5,ECHA,Boiling point,°C,
COc1ccc(C(=O)c2ccc(OC)cc2O)c(O)c1,421.9,ECHA,Boiling point,°C,
CCC(C)c1ccccc1,173,GESTIS,Boiling point,°C,
Cc1ccc2n[nH]nc2c1,211,GESTIS,Boiling point,°C,
CCC(C)CO,128,ECHA,Boiling point,°C,
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,232,ECHA,Boiling point,°C,
CCCCCCCCCCN,220.5,GESTIS,Boiling point,°C,
FC(F)(F)c1ccc(Cl)cc1Cl,145.25,,Boiling point,°C,
O=C(c1ccc(F)cc1)c1ccc(F)cc1,296,ECHA,Boiling point,°C,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-2.1,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(=O)C(F)(F)F,20.5,ECHA,Boiling point,°C,
FC(F)(F)C(Cl)C(F)(F)F,15,,Boiling point,°C,
CCC(=O)C(CCN(C)C)(c1ccccc1)c1ccccc1,165.5,AAT Bioquest,Boiling point,°C,
O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,218,Handbook of chemistry and physics 2016,Boiling point,°C,
COc1cc(OC)c(C(=O)O)cc1OC,300,Handbook of chemistry and physics 2016,Boiling point,°C,
C=CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,335.5,ECHA,Boiling point,°C,
O=C(O)CCCCCCCCCCCCCCC(=O)O,461.2,ECHA,Boiling point,°C,
