smiles,value,source,name,units,params
C=CC(=O)OCCCCO,236.1,ECHA,Boiling point,°C,
C=CC(=O)OCc1ccccc1,228,Handbook of chemistry and physics 2016,Boiling point,°C,
CO[Si](CCC#N)(OC)OC,210,ECHA,Boiling point,°C,
C=C[Si]1(C)O[Si](C)(C=C)O[Si](C)(C=C)O[Si](C)(C=C)O1,226.5,ECHA,Boiling point,°C,
Cc1cc(C)c2ccccc2c1C,282,10.1186/s13321-024-00895-0,Boiling point,°C,
Cc1ccc(CC#N)cc1,242.5,Handbook of chemistry and physics 2016,Boiling point,°C,
CCOC(=O)c1ccc2ccccc2c1,307,,Boiling point,°C,
CCCCCC[Si](OC)(OC)OC,203,ECHA,Boiling point,°C,
Cc1ccc(N)c(C)n1,230,,Boiling point,°C,
Cc1cc(N)cc(C)n1,246,AAT Bioquest,Boiling point,°C,
OCC1CCCC1,163,Handbook of chemistry and physics 2016,Boiling point,°C,
Clc1cc(Cl)nc(Cl)n1,212.5,Handbook of chemistry and physics 2016,Boiling point,°C,
CN(C)B(N(C)C)N(C)C,148.125,,Boiling point,°C,
BrCCCCCCCCBr,271,Handbook of chemistry and physics 2016,Boiling point,°C,
Cn1ccc2ccccc2c1=O,314.5,,Boiling point,°C,
CCO[Si](Cl)(OCC)OCC,156,Handbook of chemistry and physics 2016,Boiling point,°C,
COC(=O)c1ccc(C)cc1O,243,,Boiling point,°C,
CC(CO)(CO)C(=O)O,270,ECHA,Boiling point,°C,
CCCCOC(=O)CCC(=O)O,136.53,Handbook of chemistry and physics 2016,Boiling point,°C,
CCc1ccc(CCO)nc1,125,ECHA,Boiling point,°C,
CCCS(=O)(=O)O,136,AAT Bioquest,Boiling point,°C,
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,101.8,ECHA,Boiling point,°C,
C[AsH2],2,Handbook of chemistry and physics 2016,Boiling point,°C,
COC(=O)c1cccc(OC)c1,248,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)(O)Cc1ccc(Cl)cc1,90,,Boiling point,°C,
CCCCCCCCCCCCNCCCN,328,GESTIS,Boiling point,°C,
CCC#CCO,150,Handbook of chemistry and physics 2016,Boiling point,°C,
CCSCc1ccccc1,223.5,,Boiling point,°C,
COC(OC)C(C)=O,135,GESTIS,Boiling point,°C,
COc1cc(C=O)cc([N+](=O)[O-])c1O,212.3,ECHA,Boiling point,°C,
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1S(=O)(=O)O,603.18,ECHA,Boiling point,°C,
CCCOCCOCCO,214,GESTIS,Boiling point,°C,
CC(C)(C)[C@@H]1CCCC[C@@H]1O,215,ECHA,Boiling point,°C,
Cc1ccc2c(c1)oc1ccccc12,303.5,,Boiling point,°C,
O=C(Nc1ccc(Cc2ccc(NC(=O)N3CC3)cc2)cc1)N1CC1,550.74,ECHA,Boiling point,°C,
C=COC(=O)CCl,138,ECHA,Boiling point,°C,
CC(=O)OCC(C)(C)COC(C)=O,219.3,ECHA,Boiling point,°C,
O=C1OC2(c3cc(Br)c(O)c(Br)c3Oc3c2cc(Br)c(O)c3Br)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,727.96,ECHA,Boiling point,°C,
O=C1c2cccc(Sc3ccccc3)c2C(=O)c2c(Sc3ccccc3)cccc21,350,ECHA,Boiling point,°C,
CCCOC(=O)CC#N,216,,Boiling point,°C,
N#CC(Cl)=C(Cl)Cl,152,,Boiling point,°C,
CCCCCCCCc1ccc(N)cc1,310,Handbook of chemistry and physics 2016,Boiling point,°C,
CC1=CCCC1C,99,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,479,AAT Bioquest,Boiling point,°C,
CCCCCCCC[Si](C)(C)Cl,224,ECHA,Boiling point,°C,
C=CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,465,10.1186/s13321-024-00895-0,Boiling point,°C,
CC(=O)C=C(C)[O-].CC(=O)C=C(C)[O-].CC(=O)C=C(C)[O-].[Cr+3],345,Handbook of chemistry and physics 2016,Boiling point,°C,
COC(=O)NCCC[Si](OC)(OC)OC,258,ECHA,Boiling point,°C,
CCCCCC(C(C)=O)C(=O)OCC,243,,Boiling point,°C,
COc1ccc(C=CC(=O)O)cc1O,409,PubChem,Boiling point,°C,
CCCCCC(CCC)COC(=O)c1ccccc1C(=O)OCC(CCC)CCCCC,253.4,ECHA,Boiling point,°C,
CCCCCCCCCCCCCC(C)CC,294,,Boiling point,°C,
CCCCNP(N)(N)=S,264,ECHA,Boiling point,°C,
C=COC(=O)CCCCC(C)(C)C,188,GESTIS,Boiling point,°C,
CC(C)(C1CCC(O)CC1)C1CCC(O)CC1,280,ECHA,Boiling point,°C,
O=C(O)c1ccc(Cl)s1,265.4,ECHA,Boiling point,°C,
CCC(C)N1C(=O)c2ccccc2C1=O,294,,Boiling point,°C,
O=C1CCC2CCCCC2C1,240,,Boiling point,°C,
CCCCCCCCCCCC(=O)OCC(C)C,308,ECHA,Boiling point,°C,
CCOC(C)=CC(C)=O,180,,Boiling point,°C,
CC1CCC(C(C)C)C(OC=O)C1,220,,Boiling point,°C,
CCCCC(CC)COC(=O)CCC(=O)OCC(CC)CCCC,331.22,ECHA,Boiling point,°C,
CCCCOC(=O)CC(C)O,217,ECHA,Boiling point,°C,
CCN(CC)c1ccc2cc3c(oc2c1)c(C#N)c(=N)n1c2ccccc2nc31,613.74,ECHA,Boiling point,°C,
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,899.3,,Boiling point,°C,
CC(C)C=NCC1(C)CC(N=CC(C)C)CC(C)(C)C1,302,GESTIS,Boiling point,°C,
O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)cc1,292,ECHA,Boiling point,°C,
C#CCCCCCCCCCCC,234,Handbook of chemistry and physics 2016,Boiling point,°C,
CO[Si](CC(C)CC(C)(C)C)(OC)OC,210.8,ECHA,Boiling point,°C,
O=C(O)C1CCc2cc(C3CCCCC3)c(Cl)cc21,151.5,AAT Bioquest,Boiling point,°C,
NC1CCc2ccccc21,221,Handbook of chemistry and physics 2016,Boiling point,°C,
CN1CC[C@]23c4c5ccc(OCCN6CCOCC6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,577.8,,Boiling point,°C,
C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,365,,Boiling point,°C,
CC(C)(CO)[C@@H](O)C(=O)NCCCO,235.6,ECHA,Boiling point,°C,
C1CCC2(CC1)CCCCC2,214,Handbook of chemistry and physics 2016,Boiling point,°C,
C=CB(F)F,-38,,Boiling point,°C,
CCOc1cccc(F)c1,171,,Boiling point,°C,
Fc1cc(F)cc(Br)c1,140,GESTIS,Boiling point,°C,
C1CC2CCCC2C1,137.5,,Boiling point,°C,
C1=CCCCC=CC1,144,,Boiling point,°C,
CCCCOC(=O)CC(=O)OCCCC,253,Handbook of chemistry and physics 2016,Boiling point,°C,
CCC(C)c1cccc2ccccc12,275.5,,Boiling point,°C,
CCCCC(c1ccccc1)c1ccccc1,307,,Boiling point,°C,
[2H]c1sc([2H])c([2H])c1[2H],82.5,,Boiling point,°C,
ON=C1CCCCCC1,230,,Boiling point,°C,
CNc1ccc2ccccc2c1,309,,Boiling point,°C,
COC(=O)c1ccc2ccccc2c1,290,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(CC1CCCCC1)CC1CCCCC1,295,,Boiling point,°C,
C[Si](C)(C)[Si](C)(C)[Si](C)(C)C,162.5,,Boiling point,°C,
CCB(Cl)CC,79.166664,,Boiling point,°C,
CB1NB(C)NB(C)N1,129.5,,Boiling point,°C,
Cc1n[nH]c(C)c1C,232.5,,Boiling point,°C,
CCCC(C#N)c1ccccc1,254.5,,Boiling point,°C,
CC12CCC(C)(C(=O)C1)C2(C)C,213,,Boiling point,°C,
Cc1ccnc(C)n1,151.5,,Boiling point,°C,
C=CC=CC=CC,115,,Boiling point,°C,
CCOc1ccc(C#N)cc1,258,AAT Bioquest,Boiling point,°C,
C1=CCC2=C(C1)CCCC2,204,,Boiling point,°C,
CC1=CCC(C(C)(C)O)CC1=O,233,,Boiling point,°C,
FC(F)(F)[Ge](Cl)(C(F)(F)F)C(F)(F)F,37,,Boiling point,°C,
CCOC1=C(O)C(=O)O[C@@H]1[C@@H](O)CO,214,ECHA,Boiling point,°C,
O=C(O)CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],327.4,ECHA,Boiling point,°C,
CC(C)C[O-].CC(C)C[O-].CC(C)C[O-].CC(C)C[O-].[Ti+4],49,GESTIS,Boiling point,°C,
CCCCCCCCCCCCOC(=O)[C@@H]1CCC(=O)N1,329.1,ECHA,Boiling point,°C,
CCCCCCCCCCCCC(CCCCCCCCCC)C(=O)O,382,ECHA,Boiling point,°C,
c1ccc(-n2ccc3ccccc32)cc1,326.5,,Boiling point,°C,
OCc1cc(O)ccc1O,75,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCP(=O)(O)O,423,ECHA,Boiling point,°C,
CCCC(=O)C(O)CCC,185,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)(O)C1CCC1,146.33333,,Boiling point,°C,
C[Si](C)(C)C[Si](C)(C)C[Si](C)(C)C,207,,Boiling point,°C,
COc1cccc(C(C)(C)O)c1,242,,Boiling point,°C,
FC(F)=C(F)C(F)F,1.5,,Boiling point,°C,
C[Si]1(C)S[Si](C)(C)S1,182,,Boiling point,°C,
Nc1ncc(C(F)(F)F)cc1Cl,248,GESTIS,Boiling point,°C,
CC[Ge](Br)(CC)CC,189,,Boiling point,°C,
Cc1cc2cc(Br)ccc2o1,259.5,,Boiling point,°C,
COc1cc(Br)c(C=O)cc1O,280,ECHA,Boiling point,°C,
C[Si](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,305,,Boiling point,°C,
CCCC/C=C/CCCC,171.3,Handbook of chemistry and physics 2016,Boiling point,°C,
C=CCOC(=O)/C=C/c1ccccc1,270.6,ECHA,Boiling point,°C,
Cl[C@@H]1C[C@H]2CC[C@@H]1C2,162.5,,Boiling point,°C,
N#C/C=C\C#N,218.85,10.1186/s13321-024-00895-0,Boiling point,°C,
Cc1cc(C)c2c(c1)CCC(C)N2,260.5,,Boiling point,°C,
Cc1cc(Br)ccc1N,240,Handbook of chemistry and physics 2016,Boiling point,°C,
C#CCCCCC,100,GESTIS,Boiling point,°C,
CC=O,20.2,ECHA,Boiling point,°C,
O=C(Cl)Cl,7.6,ECHA,Boiling point,°C,
CCC(C)(CC)OC(N)=O,351,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(O)(CCO)CCO,295,,Boiling point,°C,
Cc1cc(C)cc(C=O)c1,221,Handbook of chemistry and physics 2016,Boiling point,°C,
NCCc1ccn[nH]1,120.5,,Boiling point,°C,
CCCCCC(=O)OC,149.5,ECHA,Boiling point,°C,
CCCCCCC(=O)OC,171.5,GESTIS,Boiling point,°C,
CC(C)CCCl,100,GESTIS,Boiling point,°C,
CC1CCC(=O)O1,270,Guidechem,Boiling point,°C,
O=C(O)COCC(=O)O,269,Handbook of chemistry and physics 2016,Boiling point,°C,
C=C(C)C(=O)OCCCCCC,162,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C(Cl)c1ccco1,173,Handbook of chemistry and physics 2016,Boiling point,°C,
BrCc1ccc(CBr)cc1,245,Handbook of chemistry and physics 2016,Boiling point,°C,
COS(=O)(=O)c1ccc(C)cc1,298.27,ECHA,Boiling point,°C,
C1CC2CCC1C2,107,Handbook of chemistry and physics 2016,Boiling point,°C,
c1ccc2c(c1)Cc1ccccc1O2,311,Handbook of chemistry and physics 2016,Boiling point,°C,
CCNCC,56.3,ECHA,Boiling point,°C,
CCC(C)CN,95.55,10.1021/ci970029v,Boiling point,°C,
C#CCCC#C,88,Handbook of chemistry and physics 2016,Boiling point,°C,
COc1ccc(F)cc1,157,Handbook of chemistry and physics 2016,Boiling point,°C,
C1SCSS1,224,PubChem,Boiling point,°C,
Cc1cc(C)cc(C(C)(C)C)c1,207,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C1CCc2ccccc2O1,288.73,ECHA,Boiling point,°C,
O=[N+]([O-])C1(Br)COCOC1,185.2,ECHA,Boiling point,°C,
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,100,,Boiling point,°C,
CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,160,,Boiling point,°C,
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,250,AAT Bioquest,Boiling point,°C,
OCC(S)CS,140,GESTIS,Boiling point,°C,
CCN(CC)CCOc1ccccc1C(=O)CCc1ccccc1,266,AAT Bioquest,Boiling point,°C,
CC(=O)CC(C)(C)C,124,Handbook of chemistry and physics 2016,Boiling point,°C,
CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,176,AAT Bioquest,Boiling point,°C,
N[C@@H](CO)C(=O)O,150,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C(CBr)c1ccccc1,135,GESTIS,Boiling point,°C,
CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,113.5,AAT Bioquest,Boiling point,°C,
CN1C(=O)CC(C)(c2ccccc2)C1=O,121.5,,Boiling point,°C,
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,56,GESTIS,Boiling point,°C,
CC(C)CBr,92,GESTIS,Boiling point,°C,
Cl[Si](Cl)(c1ccccc1)c1ccccc1,305,ECHA,Boiling point,°C,
O=C(O)c1ccco1,232,ECHA,Boiling point,°C,
c1ccc2c(c1)CCNC2,238.23,ECHA,Boiling point,°C,
Sc1ccc2ccccc2c1,288,Handbook of chemistry and physics 2016,Boiling point,°C,
C1CCC(C2CCCCC2)CC1,239,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1ccc2ccc(C)nc2c1,260,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,337,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)CCOC(=O)c1ccccc1,262.7,ECHA,Boiling point,°C,
CC=Cc1ccc(O)c(OC)c1,266.75,,Boiling point,°C,
CC(C)c1ccc(C(C)C)cc1,210.1,ECHA,Boiling point,°C,
NNc1ccccc1,243.5,Handbook of chemistry and physics 2016,Boiling point,°C,
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,386,ECHA,Boiling point,°C,
NC(=Nc1ccccc1)Nc1ccccc1,250,GESTIS,Boiling point,°C,
CCCCCCCC(=O)OCC,207.2,ECHA,Boiling point,°C,
C1CC2OC2CC1C1CO1,227,GESTIS,Boiling point,°C,
C=CC[Si](Cl)(Cl)Cl,118,Handbook of chemistry and physics 2016,Boiling point,°C,
CCOP(=O)(OCC)OP(=O)(OCC)OCC,138,GESTIS,Boiling point,°C,
CC(CCl)OC(C)CCl,187,GESTIS,Boiling point,°C,
CCOCC.FB(F)F,125.5,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCN,131.6,ECHA,Boiling point,°C,
OCCCCCO,237.9,ECHA,Boiling point,°C,
C=COCCCC,94.49,ECHA,Boiling point,°C,
C1CCCNCC1,138,GESTIS,Boiling point,°C,
COCCOCCO,193,ECHA,Boiling point,°C,
CCCCCCCCCCCCCCCCCCBr,357,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,371,ECHA,Boiling point,°C,
CC(C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)[N+](=O)[O-],180,AAT Bioquest,Boiling point,°C,
COc1cc(C(=O)O)cc(OC)c1OC,226,GESTIS,Boiling point,°C,
Oc1ccccc1C1CCCCC1,282.5,,Boiling point,°C,
CC=Cc1ccc2c(c1)OCO2,252,,Boiling point,°C,
COc1ccc(O)c(C(C)(C)C)c1,240,ECHA,Boiling point,°C,
CC(C)N(CCN)C(C)C,179.7,ECHA,Boiling point,°C,
O=C(c1ccccc1)c1ccc(O)cc1O,375,ECHA,Boiling point,°C,
NCc1ccc(Br)cc1,250,AAT Bioquest,Boiling point,°C,
CCC(C)CCC(C)(O)CC,198,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)(C)CC(C)(C)c1ccc(O)cc1,289,ECHA,Boiling point,°C,
CC(C)C(O)C(C)(C)CO,228,ECHA,Boiling point,°C,
CCOB(OCC)OCC,124.95,ECHA,Boiling point,°C,
C1CC12CC2,39,Handbook of chemistry and physics 2016,Boiling point,°C,
c1ccc2c(c1)-c1cccc3cc4ccccc4c-2c13,481,,Boiling point,°C,
FC(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,100,,Boiling point,°C,
Fc1ccccc1Cl,137.6,Handbook of chemistry and physics 2016,Boiling point,°C,
COC.FB(F)F,127,GESTIS,Boiling point,°C,
C[Si](C)(C)F,16.4,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C(O)c1ccccc1C(F)(F)F,247,,Boiling point,°C,
CCCCCON=O,105,ECHA,Boiling point,°C,
O=C1NCc2ccccc21,338,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C1CC2CCC1C2,170,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C1CCCCCCCCCCCCCC1,246,ECHA,Boiling point,°C,
CN=NC,1.5,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1ccccc1C(C)C,178,Handbook of chemistry and physics 2016,Boiling point,°C,
CCOC(=O)CCC(C)=O,205.8,Handbook of chemistry and physics 2016,Boiling point,°C,
ClCOCCl,106,GESTIS,Boiling point,°C,
[CH2-]C.[CH2-]C.[Zn+2],133,Handbook of chemistry and physics 2016,Boiling point,°C,
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-23,,Boiling point,°C,
CC(C)=C(C)C,73,GESTIS,Boiling point,°C,
CC(C)c1ccccc1C(C)C,205,GESTIS,Boiling point,°C,
Cl[As]1c2ccccc2Nc2ccccc21,410,AAT Bioquest,Boiling point,°C,
CC(CN)c1ccccc1,210,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCC(C)CCC,117,GESTIS,Boiling point,°C,
CCCCC(C)C,90,GESTIS,Boiling point,°C,
CCCCCC(C)C,108.1,GESTIS,Boiling point,°C,
CC(C)(C=O)CO,173,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCC(C)(O)CC,166,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)C(C)N,81,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1cccc(-c2cccc(C)c2)c1,289.6,Handbook of chemistry and physics 2016,Boiling point,°C,
Clc1nc2ccccc2s1,248,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1ccc(N)c(Cl)c1,224,GESTIS,Boiling point,°C,
Cc1cc[nH]c1,143,Handbook of chemistry and physics 2016,Boiling point,°C,
CCOC(CCl)OCC,157,GESTIS,Boiling point,°C,
CC(O)CC(C)O,201,GESTIS,Boiling point,°C,
O=C(O)CCCCl,196,,Boiling point,°C,
CC(=O)OCCCCl,170,,Boiling point,°C,
CCCCCCCCCCCCCC,266,ECHA,Boiling point,°C,
CCCCCCCCCCCCCCCCCCCCC,359,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCCCCCCCCCCO,356,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,490,AAT Bioquest,Boiling point,°C,
CCC(=O)Oc1ccccc1,207,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)CCOC(=O)CC(C)C,192.2,ECHA,Boiling point,°C,
C1=CCCC=CCCC=CCC1,240,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(=O)CCc1ccco1,203,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C(c1ccccc1)C1CCCCC1,165,ECHA,Boiling point,°C,
CC1(C)CCOCO1,132.66667,,Boiling point,°C,
C=COC(=O)c1ccccc1,207.3,ECHA,Boiling point,°C,
O=P(Cl)(Cl)Oc1ccccc1,242,GESTIS,Boiling point,°C,
CC(C)(N)CN,131,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCC(=O)CCCC,203.75,,Boiling point,°C,
Cc1cccc2ccc3ccccc3c12,354,,Boiling point,°C,
CCCCCSCCCCC,230,GESTIS,Boiling point,°C,
CC(=O)OCCBr,159,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C(Cl)C1CCC1,137.75,,Boiling point,°C,
CC(=O)CCCO,209,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCCCc1ccccc1,245,GESTIS,Boiling point,°C,
CC(=O)N(C)C(C)=O,195,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(CO)c1ccccc1,234,GESTIS,Boiling point,°C,
Cc1ccn[nH]1,204,GESTIS,Boiling point,°C,
CCCCCCCCCC(=O)CC,249.85,10.1186/s13321-024-00895-0,Boiling point,°C,
SC1CCCCC1,158.9,ECHA,Boiling point,°C,
C=CC=CC,42.5,,Boiling point,°C,
CCCCCCCCCCCCC(=O)OC,92,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)OC(N)=O,183,Handbook of chemistry and physics 2016,Boiling point,°C,
CN(C)C=Nc1ccccc1,231.5,,Boiling point,°C,
CC(C#N)c1ccccc1,231,Handbook of chemistry and physics 2016,Boiling point,°C,
C#CC(C)O,106,ECHA,Boiling point,°C,
CCCCCOC(=O)c1ccccc1O,282,ECHA,Boiling point,°C,
C=CCOC(=O)CCC,142,ECHA,Boiling point,°C,
CCCCCCCCCCCCCCCc1ccccc1,373,Handbook of chemistry and physics 2016,Boiling point,°C,
CC(C)c1ccc(O)c(O)c1,271,AAT Bioquest,Boiling point,°C,
COc1cccccc1=O,128,AAT Bioquest,Boiling point,°C,
Cc1ccccc1OCC1CO1,260,ECHA,Boiling point,°C,
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,218.94,ECHA,Boiling point,°C,
CCCCCCCCCCCC(CCCCCCCC)c1ccccc1,406,,Boiling point,°C,
C=C(Cl)C(Cl)CCl,125.666664,GESTIS,Boiling point,°C,
CCN(CC)C(=O)Cc1ccccc1,169,AAT Bioquest,Boiling point,°C,
CC(C)c1ccccc1C(=O)O,160,AAT Bioquest,Boiling point,°C,
Cc1ccc2ccc(=O)oc2c1,171.5,Handbook of chemistry and physics 2016,Boiling point,°C,
C=CC(=O)OCCCCCC,190,ECHA,Boiling point,°C,
C=C(C)C(=O)OCCN(C)C,192,ECHA,Boiling point,°C,
CN(C)CCN(C)CCN(C)C,199,GESTIS,Boiling point,°C,
O=C(O)C1CCCC1,216,GESTIS,Boiling point,°C,
C=C(OC)C(=C)OC,132.75,,Boiling point,°C,
C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)C=O,139.6,ECHA,Boiling point,°C,
CCCSC,95.5,Handbook of chemistry and physics 2016,Boiling point,°C,
CC1CCc2ccccc2C1,220,,Boiling point,°C,
C#CCN(CC)CC,120.9,ECHA,Boiling point,°C,
CC(C)OC(=O)c1ccc(O)cc1,270,ECHA,Boiling point,°C,
NCCCOCCOCCOCCCN,147,GESTIS,Boiling point,°C,
CO[Si](CCCS)(OC)OC,200,ECHA,Boiling point,°C,
COC(C)CCOC(C)=O,170,ECHA,Boiling point,°C,
CCCCN(CCCC)C(=O)N(CCCC)CCCC,305,ECHA,Boiling point,°C,
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],198.9,ECHA,Boiling point,°C,
CCC(=O)c1ccc(C)cc1,236,Handbook of chemistry and physics 2016,Boiling point,°C,
CCN(CC)CCN,145,ECHA,Boiling point,°C,
C1CCC(CCCCC2CCCCC2)CC1,309,,Boiling point,°C,
CCCCCCCCCCC(C)=O,246,GESTIS,Boiling point,°C,
CCCCCCOC(=O)c1ccccc1O,297.85,ECHA,Boiling point,°C,
CCCCCCOC(=O)CCCCC,242.7,ECHA,Boiling point,°C,
CCCCC(CC)COC(=O)CS,227.4,GESTIS,Boiling point,°C,
CC(C)(C)OCC1CO1,152,ECHA,Boiling point,°C,
c1ccc(CN(Cc2ccccc2)Cc2ccccc2)cc1,385,ECHA,Boiling point,°C,
CCC(CC)c1cccc(OC(=O)NC)c1.CCCC(C)c1cccc(OC(=O)NC)c1,125,GESTIS,Boiling point,°C,
Cc1cc(C(C)C)c(C)cc1C(C)C,244,,Boiling point,°C,
C[Si](C)(C)c1ccc([Si](C)(C)C)cc1,194,,Boiling point,°C,
CC(C)c1ccc(C#N)cc1,245,ECHA,Boiling point,°C,
CC1(C)CCCC2(C)OC(=O)C=C12,295,PubChem,Boiling point,°C,
CC(=O)OC1CC(C)CCC1C(C)C,229.9,ECHA,Boiling point,°C,
O=CNC=O,198,,Boiling point,°C,
C=CCCCCCCCCCCCCCCCCCCCCCCCC,367,ECHA,Boiling point,°C,
CC(C)=CC=O,135.9,ECHA,Boiling point,°C,
CCCCCCCCCCCCCCCCCC(=O)OCCCC,343,GESTIS,Boiling point,°C,
CCCCCCCCCCCCCC=O,213,GESTIS,Boiling point,°C,
COC(=O)c1ccc(C)cc1C,233,,Boiling point,°C,
C#CF,-74,Handbook of chemistry and physics 2016,Boiling point,°C,
COCC(C)OCC(C)OC(C)CO,243,GESTIS,Boiling point,°C,
N[C@@H](CCC(=O)O)C(=O)O,175,Handbook of chemistry and physics 2016,Boiling point,°C,
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,743.2,,Boiling point,°C,
Cc1cc(C)cc(CO)c1,219.5,AAT Bioquest,Boiling point,°C,
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,370,GESTIS,Boiling point,°C,
Cc1cc(Cl)c(Cl)c(Cl)c1,246,,Boiling point,°C,
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,340,AAT Bioquest,Boiling point,°C,
OCCCCCCCCCCO,301.7,ECHA,Boiling point,°C,
COC(=O)C1C2C=CC(C2)C1C(=O)OC,137,AAT Bioquest,Boiling point,°C,
O=C(Cl)c1cc2ccccc2o1,268,,Boiling point,°C,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,428,,Boiling point,°C,
CCC1([N+](=O)[O-])COCN(C)C1,184,,Boiling point,°C,
Oc1cc2c(cc1O)[C@@H]1c3ccc(O)c(O)c3OC[C@]1(O)C2,267,ECHA,Boiling point,°C,
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,61,,Boiling point,°C,
CCC(C)(F)F,30.25,,Boiling point,°C,
O=C(O)C(F)(F)C(F)(Cl)C(F)(F)Cl,178.5,,Boiling point,°C,
CCCC1CCCC1=O,183,,Boiling point,°C,
C=C(C)CCCCCCCC,190.7,10.1186/s13321-024-00895-0,Boiling point,°C,
CCCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,97,,Boiling point,°C,
CCCCCCCCCCCCCCCCCCC(C)C,348,,Boiling point,°C,
CCCCCCCCCCCNCCCCCCCCCCC,382,10.1186/s13321-024-00895-0,Boiling point,°C,
CCC=C(c1ccccc1)c1ccccc1,294,,Boiling point,°C,
CCCCCCSC,171,,Boiling point,°C,
